start_bps		stop_bps		Chr		species		syntenyID
202949416		202955588		2		Homo_sapiens		34040,34390,34786,35218,35844,36118,36421,36675,36856,37061,37311,37863,38296,39100
29610000		29663000		6		Homo_sapiens		34104,34868,35923,36161,36507,36697,36905,37094,37377,37882,38344,39147
32490000		32579000		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38345,39147
68067472		68069262		12		Homo_sapiens		33956,34677,35061,35727,36056,36302,36642,36790,37017,37215,37843,38223,39007
205600870		205605758		1		Homo_sapiens		33903,34222,34616,34993,35474,35681,36028,36245,36624,36750,36994,37837,38200,38979
158660000		158700000		5		Homo_sapiens		34102,34862,35346,35614,35915,36160,36502,36695,36904,37093,37372,37881,38340,39142
132020000		132030000		5		Homo_sapiens		34100,34860,35340,35611,35910,36160,36497,36695,36904,37093,37371,37881,38340,39140
22407993		22414137		7		Homo_sapiens		34119,34530,34878,35360,35943,36171,36529,36702,36914,37097,37394,37885,38351,39152
29682000		29710000		6		Homo_sapiens		34868,35923,36161,36507,36697,36905,37094,37377,37882,38344,39147
196335003		196445423		1		Homo_sapiens		33901,34614,34993,35681,36028,36245,36624,36748,36994,37160,37837,38200,38978
31590000		31605000		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38344,39147
33810000		33820000		17		Mus_musculus		33370,33661,35802
0		0		17		Homo_sapiens		
115885687		115917837		3		Homo_sapiens		34063,34443,34823,35287,35875,36138,36454,36685,36876,37075,37333,37871,38316,39119
52050000		52060000		6		Homo_sapiens		34106,34869,35352,35618,35927,36161,36509,36699,36905,37094,37381,37882,38345,39147
80141190		80143071		16		Homo_sapiens		34000,34331,34733,35140,35774,36081,36357,36654,36822,37037,37265,37850,38261,39042
114366885		114387729		11		Homo_sapiens		33947,34273,34663,35040,35717,36048,36287,36639,36781,37011,37205,37841,38212,38995
52090730		52103337		19		Homo_sapiens		34023,34762,36102,36665,36845,37050,37292,37859,39077
130458321		130508036		9		Homo_sapiens		34177,34943,35426,36002,36214,36598,36720,36962,37125,37441,37892,39201
119415745		119423639		8		Homo_sapiens		34158,34565,34918,35396,35643,35985,36196,36575,36712,36945,37113,37426,37889,38377,39179
37730000		37740000		17		Homo_sapiens		34008,34739,35156,35780,36088,36366,36657,36830,37040,37275,37853,38267,39055
89280000		89300000		4		Homo_sapiens		34084,34839,35316,35890,36153,36477,36689,36893,37083,37354,37875,38328,39134
780445		798022		11		Homo_sapiens		33931,34252,35705,36040,36273,36632,36771,37004,37193,37840,38985
133670000		133690000		X		Homo_sapiens		34185,34959,35450,35669,36014,36219,36610,36724,36972,37129,37454,37894,38398,39205
0		0		X		Homo_sapiens		
0		0		X		Homo_sapiens		
61300000		72900000		17		Homo_sapiens		34012,34013,34014,34342,34343,34344,34345,34745,34746,34747,34748,35160,35161,35162,35163,35164,35784,35785,35786,36091,36371,36372,36373,36658,36833,36834,37043,37277,37853,38273,38274,38275,39060,39061,39062,39063,39064
67733542		67823027		1		Homo_sapiens		33889,34607,34979,35463,35673,36021,36236,36619,36742,36987,37152,37833,38193,38969
153550000		153565000		1		Homo_sapiens		33897,34611,34990,35680,36027,36243,36624,36746,36994,37156,37837,38197,38975
217194766		217289871		1		Homo_sapiens		33905,34223,34618,34993,35683,36029,36247,36625,36752,36995,37166,37837,38201,38980
92604254		92719345		1		Homo_sapiens		33890,34208,34607,34982,35675,36021,36238,36619,36742,36987,37153,37833,38193,38969
21130604		21173248		2		Homo_sapiens		34024,34364,34766,35545,35817,36105,36400,36668,36846,37051,37296,37860,38284,39083
111090639		111095885		2		Homo_sapiens		34034,34778,36114,36673,36852,37055,37302,37861,38289,39093
137450000		137480000		6		Homo_sapiens		34115,34524,34876,35354,35622,35935,36164,36520,36700,36909,37095,37390,37883,38349,39149
31840000		31845000		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38344,39147
30227813		30315067		3		Homo_sapiens		34056,34428,34816,35271,35868,36134,36444,36684,36873,37073,37330,37870,38308,39113
156994033		157000597		3		Homo_sapiens		34068,34829,35295,35881,36143,36461,36685,36882,37078,37338,37871,38320,39123
1756000		1772000		4		Homo_sapiens		34074,34455,34831,35305,35887,36146,36468,36686,36886,37079,37872,39129
54940000		55020000		4		Homo_sapiens		34082,34463,34838,35309,35889,36152,36475,36688,36892,37082,37346,37875,39134
73010000		73051000		4		Homo_sapiens		34082,34465,34838,35311,35889,36152,36476,36688,36893,37083,37353,37875,38327,39134
123760000		123772000		4		Homo_sapiens		34087,34473,34840,35322,35895,36153,36482,36691,36896,37083,37354,37875,38330,39136
124140000		124213000		4		Homo_sapiens		34087,34473,34840,35322,35895,36153,36482,36691,36896,37083,37354,37875,38330,39136
71441000		71542000		5		Homo_sapiens		34095,34491,34854,35330,35605,35903,36160,36491,36694,36902,37092,37366,37879,39139
132040000		132050000		5		Homo_sapiens		34100,34860,35340,35611,35910,36160,36497,36695,36904,37093,37371,37881,38340,39140
135258000		135263000		5		Homo_sapiens		34100,34501,34861,35911,36160,36498,36695,36904,37093,37371,37881,38340,39141
141950000		142050000		5		Homo_sapiens		34101,34862,35343,35912,36160,36499,36695,36904,37093,37371,37881,38340,39141
131849000		131856000		5		Homo_sapiens		34100,34860,35340,35611,35910,36160,36497,36695,36904,37093,37371,37881,38340,39140
32433000		32440000		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38345,39147
32008000		32030000		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38344,39147
152080000		152380000		6		Homo_sapiens		34115,34525,34876,35354,35623,35935,36165,36521,36700,36910,37095,37390,37883,38349,39149
99254010		99265864		7		Homo_sapiens		34132,34894,35632,36181,36709,36927,37105,37406,37887,39162
37810790		37867085		8		Homo_sapiens		34153,34912,35394,35974,36195,36564,36711,36941,37111,37424,37888,39174
92667757		92711853		9		Homo_sapiens		34172,34938,35999,36212,36593,36720,36959,37124,37436,37892,38388,39198
6203000		6255000		10		Homo_sapiens		33914,34628,35689,36031,36253,36626,36760,36996,37173,37838,38960
90880000		90907000		10		Homo_sapiens		33927,34644,35703,36039,36269,36631,36770,37003,37187,37839,38187,38967
123369000		123490000		10		Homo_sapiens		33929,34646,35015,35704,36039,36272,36631,36770,37003,37189,37839,38187,38967
120213773		120228841		11		Homo_sapiens		33947,34663,35040,35717,36048,36287,36639,36781,37011,37205,37841,38212,38995
69874216		69877057		11		Homo_sapiens		33944,34269,34657,35494,35714,36046,36283,36639,36778,37009,37201,37841,38992
8928367		8976544		12		Homo_sapiens		33950,34277,34671,35047,35720,36051,36291,36640,36785,37014,37208,37842,38214,38998
11331712		11375977		12		Homo_sapiens		33950,34671,35721,36052,36292,36640,36785,37014,37208,37842,38215,39000
57757736		57762497		12		Homo_sapiens		33954,34675,35727,36054,36300,36642,36788,37015,37214,37843,39005
110794037		110992911		12		Homo_sapiens		33960,34289,34681,35066,35499,35730,36057,36306,36643,36793,37017,37221,37843,38226,39008
101894547		101972838		12		Homo_sapiens		33957,34679,35063,35727,36057,36304,36643,36791,37017,37218,37843,38224,39008
116666970		116815573		12		Homo_sapiens		33960,34682,35067,35730,36057,36306,36643,36793,37017,37222,37843,38226,39008
103365391		104254337		14		Homo_sapiens		33974,34309,34698,35098,35510,35751,36063,36329,36647,36804,37022,37237,37845,39015
92351933		92362346		14		Homo_sapiens		33973,34309,34698,35097,35751,36063,36329,36647,36804,37022,37235,37845,38240,39015
84556182		84935833		15		Homo_sapiens		33988,34713,35113,35759,36067,36340,36651,36812,37024,37250,37848,39028
40027000		40036000		17		Homo_sapiens		34008,34338,34739,35156,35780,36088,36366,36657,36830,37040,37275,37853,38267,39055
64625000		64643000		17		Homo_sapiens		34013,34746,35163,35785,36091,36372,36658,36834,37043,37277,37853,38274,39061
62759000		62805000		17		Homo_sapiens		34012,34745,35162,35784,36091,36658,36833,37043,37277,37853,38273
32445000		32448000		17		Homo_sapiens		34007,34336,34738,35154,35779,36087,36364,36657,36829,37039,37273,37853,38266,39054
29470000		29475000		17		Homo_sapiens		34007,34738,35154,35779,36087,36363,36657,36829,37039,37273,37853,38265,39054
29480000		29495000		17		Homo_sapiens		34007,34738,35154,35779,36087,36363,36657,36829,37039,37273,37853,38265,39054
74450000		74542000		18		Homo_sapiens		34021,34755,35175,35798,36099,36383,36660,36840,37046,37284,37855,39069
6746489		6789295		19		Homo_sapiens		34022,34758,35176,35800,36100,36661,36841,37047,37286,37856,39070
10604569		10620100		19		Homo_sapiens		34022,34759,35178,35803,36100,36388,36661,36842,37047,37287,37856,39070
15664050		15705404		19		Homo_sapiens		34022,34759,35180,35806,36100,36390,36661,36843,37047,37288,37856,39070
18562370		18589696		19		Homo_sapiens		34022,34759,35182,35807,36100,36391,36661,36843,37047,37289,37856,39070
36231986		36253663		19		Homo_sapiens		34023,34762,35186,35809,36102,36392,36662,36845,37050,37290,37857,38280,39074
42227952		42251512		19		Homo_sapiens		34023,34762,35809,36102,36392,36665,36845,37050,37292,37857,39077
45840189		45843715		19		Homo_sapiens		34023,34762,35810,36102,36392,36665,36845,37050,37292,37859,39077
45275000		47283000		20		Homo_sapiens		34044,34404,34796,35241,35847,36120,36424,36678,36859,37064,37316,37865,39082
33696000		33730000		21		Homo_sapiens		34048,34410,34801,35249,35851,36124,36427,36682,36863,37068,37319,37868,38299,39104
31520000		31584000		22		Homo_sapiens		34052,34416,34807,35260,35568,35858,36131,36435,36683,36869,37070,37322,37869,38303,39109
28324000		28420000		22		Homo_sapiens		34052,34807,35259,35857,36131,36434,36683,36869,37070,37322,37869,39109
37860000		37885000		22		Homo_sapiens		34053,34418,34808,35261,35862,36131,36438,36683,36870,37070,37325,37869,38304,39109
40767000		40782000		22		Homo_sapiens		34053,34418,34809,35862,36131,36438,36683,36870,37070,37325,37869,39109
35764000		35790000		22		Homo_sapiens		34053,34808,35261,35861,36131,36437,36683,36870,37070,37325,37869,38304,39109
68560000		68565000		X		Homo_sapiens		34180,34952,36011,36219,36607,36724,36969,37129,37449,37894,38394,39203
149089000		149090000		X		Homo_sapiens		34185,34959,35452,35670,36015,36219,36612,36724,36973,37129,37454,37894,39207
101065000		101081000		X		Homo_sapiens		34182,34955,36011,36219,36607,36724,36970,37129,37453,37894,38396,39203
133675000		133688000		X		Homo_sapiens		34185,34959,35450,35669,36014,36219,36610,36724,36972,37129,37454,37894,38398,39205
53000000		76100000		17		Homo_sapiens		34010,34011,34012,34013,34014,34340,34341,34342,34343,34344,34345,34346,34743,34744,34745,34746,34747,34748,35159,35160,35161,35162,35163,35164,35165,35783,35784,35785,35786,36089,36090,36091,36369,36370,36371,36372,36373,36658,36831,36832,36833,36834,37042,37043,37276,37277,37853,38271,38272,38273,38274,38275,39057,39058,39059,39060,39061,39062,39063,39064
26600000		31605000		6		Homo_sapiens		34104,34105,34106,34513,34868,35352,35617,35922,35923,36161,36506,36507,36697,36698,36699,36905,37094,37376,37377,37378,37882,38343,38344,39146,39147
17600000		26200000		1		Homo_sapiens		33886,34202,34606,34971,34972,34973,35462,35671,36021,36233,36619,36741,36987,37145,37833,38191,38192,38968
53810000		55981000		17		Homo_sapiens		34010,34743,35159,35783,36089,36369,36658,36831,37042,37276,37853,38271,39057
0		0		4		Homo_sapiens		
238294000		239350000		1		Homo_sapiens		33909,34622,34996,35686,36030,36251,36625,36756,36995,37170,37837,38204,38984
49750936		49851219		2		Homo_sapiens		34025,34767,35198,35821,36105,36401,36668,36846,37051,37297,37860,38285,39084
66559000		66660000		4		Homo_sapiens		34082,34838,35309,35889,36152,36475,36688,36892,37082,37348,37875,38326,39134
32000000		33200000		6		Homo_sapiens		34106,34868,34869,35352,35923,36161,36507,36699,36905,37094,37378,37882,38344,38345,39147
55207000		55840000		19		Homo_sapiens		34023,34763,35812,36102,36396,36665,36845,37050,37292,37859,39078
0		0		1		Homo_sapiens		
0		0		1		Homo_sapiens		
0		0		1		Homo_sapiens		
0		0		1		Homo_sapiens		
0		0		1		Homo_sapiens		
0		0		1		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
166363581		166463703		2		Homo_sapiens		34039,34387,34785,35216,35842,36118,36420,36675,36856,37061,37311,37863,38296,39099
0		0		2		Homo_sapiens		
0		0		2		Homo_sapiens		
213839972		214390150		2		Homo_sapiens		34040,34391,34786,35219,35844,36118,36421,36675,36857,37061,37311,37863,38296,39100
0		0		3		Homo_sapiens		
0		0		3		Homo_sapiens		
0		0		3		Homo_sapiens		
0		0		3		Homo_sapiens		
0		0		4		Homo_sapiens		
0		0		4		Homo_sapiens		
130540000		130642000		4		Homo_sapiens		34087,34840,35324,35895,36153,36482,36691,36896,37083,37354,37875,38330,39136
144546000		144647000		4		Homo_sapiens		34088,34840,35324,35896,36153,36483,36691,36896,37083,37355,37875,38331,39136
0		0		4		Homo_sapiens		
0		0		5		Homo_sapiens		
0		0		5		Homo_sapiens		
0		0		6		Homo_sapiens		
32156372		32256735		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38344,39147
32669043		32770043		6		Homo_sapiens		34106,34868,35352,35923,36161,36507,36699,36905,37094,37378,37882,38345,39147
0		0		7		Homo_sapiens		
0		0		7		Homo_sapiens		
0		0		7		Homo_sapiens		
0		0		7		Homo_sapiens		
121038855		121138951		7		Homo_sapiens		34134,34542,34899,35379,35961,36183,36549,36709,36929,37106,37408,37887,38362,39164
0		0		6		Homo_sapiens		
0		0		8		Homo_sapiens		
0		0		8		Homo_sapiens		
0		0		8		Homo_sapiens		
0		0		9		Homo_sapiens		
0		0		9		Homo_sapiens		
0		0		10		Homo_sapiens		
0		0		10		Homo_sapiens		
0		0		10		Homo_sapiens		
0		0		11		Homo_sapiens		
0		0		11		Homo_sapiens		
0		0		11		Homo_sapiens		
0		0		12		Homo_sapiens		
0		0		12		Homo_sapiens		
0		0		12		Homo_sapiens		
0		0		12		Homo_sapiens		
0		0		13		Homo_sapiens		
0		0		13		Homo_sapiens		
0		0		13		Homo_sapiens		
0		0		14		Homo_sapiens		
0		0		14		Homo_sapiens		
90200000		90300000		14		Homo_sapiens		33972,34309,34697,35096,35509,35751,36063,36329,36647,36804,37022,37235,37845,38240,39015
0		0		15		Homo_sapiens		
0		0		15		Homo_sapiens		
0		0		15		Homo_sapiens		
0		0		15		Homo_sapiens		
0		0		17		Homo_sapiens		
0		0		17		Homo_sapiens		
4250000		4350000		18		Homo_sapiens		34015,34750,35167,35790,36092,36375,36659,36835,37044,37278,37854,38276,39065
0		0		18		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		19		Homo_sapiens		
0		0		20		Homo_sapiens		
0		0		21		Homo_sapiens		
0		0		21		Homo_sapiens		
28317229		28417418		21		Homo_sapiens		34048,34409,34801,35246,35851,36124,36426,36682,36863,37068,37319,37868,38299,39104
0		0		21		Homo_sapiens		
0		0		22		Homo_sapiens		
24814906		24915015		22		Homo_sapiens		34051,34806,35856,36129,36431,36683,36868,37070,37321,37869,39108
0		0		22		Homo_sapiens		
0		0		22		Homo_sapiens		
98304482		98404708		X		Homo_sapiens		34181,34182,35441,36011,36219,36607,36724,36970,37129,37452,37894,38396,39203
124300000		164306000		1		Homo_sapiens		33895,33896,33897,33898,34214,34215,34610,34611,34986,34987,34988,34989,34990,34991,34992,34993,35472,35679,35680,35681,36024,36025,36026,36027,36028,36242,36243,36244,36622,36623,36624,36745,36746,36990,36991,36992,36993,36994,37155,37156,37834,37835,37836,37837,38196,38197,38973,38974,38975,38976,38977
0		0		1		Homo_sapiens		
5900000		6912000		3		Homo_sapiens		34054,34810,35267,35570,35863,36132,36439,36684,36871,37071,37328,37870,39111
160500000		166670000		2		Homo_sapiens		34039,34387,34785,35216,35842,36118,36420,36675,36856,37061,37311,37863,38296,39099
180700000		183000000		2		Homo_sapiens		34039,34388,34785,35216,35842,36118,36420,36675,36856,37061,37311,37863,38296,39099
106800000		116410000		3		Homo_sapiens		34063,34443,34822,34823,35286,35287,35875,36138,36454,36685,36876,37075,37333,37871,38316,39118,39119
57530000		82660000		4		Homo_sapiens		34082,34083,34084,34464,34465,34466,34467,34838,35309,35310,35311,35312,35313,35314,35889,36152,36475,36476,36688,36892,36893,37082,37083,37347,37348,37349,37350,37351,37352,37353,37354,37875,38326,38327,39134
10000		25800000		6		Homo_sapiens		34104,34509,34510,34511,34512,34868,35350,35351,35616,35920,35921,35922,36161,36505,36506,36697,36905,37094,37374,37375,37376,37882,38342,38343,39146
0		0		6		Homo_sapiens		
0		0		6		Homo_sapiens		
0		0		6		Homo_sapiens		
0		0		6		Homo_sapiens		
102150000		102250000		6		Homo_sapiens		34108,34523,34874,35354,35933,36163,36515,36700,36909,37095,37388,37883,38349,39149
129560000		129660000		9		Homo_sapiens		34177,34943,35425,36002,36214,36598,36720,36962,37125,37441,37892,39201
130150000		130250000		9		Homo_sapiens		34177,34943,36002,36214,36598,36720,36962,37125,37441,37892,39201
130820000		130920000		9		Homo_sapiens		34177,34943,35426,36002,36214,36215,36598,36720,36962,37125,37441,37892,39201
270000		6880000		10		Homo_sapiens		33914,34229,34626,34627,34628,34997,34998,34999,35688,35689,36031,36253,36626,36760,36996,37173,37838,38177,38960
10000		1930000		11		Homo_sapiens		33930,33931,34252,34253,34648,35705,36040,36273,36632,36633,36634,36771,37004,37192,37193,37840,38985
11500000		26700000		10		Homo_sapiens		33914,33915,34230,34231,34232,34628,34629,34630,34631,34999,35000,35475,35689,36031,36253,36626,36760,36996,37173,37174,37175,37176,37838,38177,38178,38179,38960
77850000		77950000		12		Homo_sapiens		33957,34678,35063,35727,36056,36303,36643,36791,37017,37217,37843,38224,39007
121706000		121806000		16		Homo_sapiens		
80730000		80832000		17		Homo_sapiens		34347,34748,35166,35786,36091,36373,36658,36834,37043,37277,37853,39064
31484000		31584000		22		Homo_sapiens		34052,34416,34807,35260,35568,35858,36131,36435,36683,36869,37070,37322,37869,38303,39109
38575000		38675000		22		Homo_sapiens		34053,34418,34809,35862,36131,36438,36683,36870,37070,37325,37869,38304,39109
4756000		4860000		X		Homo_sapiens		34179,34586,34945,36216,36721,36964,37126,37445,37893,39202
8795000		8896000		X		Homo_sapiens		34179,34586,34945,35430,36004,36216,36721,36964,37126,37445,37893,39202
109300000		109400000		1		Homo_sapiens		33890,34210,34607,34984,35469,35676,36021,36239,36619,36742,36987,37153,37833,38193,38969
71891570		72124703		2		Homo_sapiens		34027,34374,34771,35824,36105,36404,36668,36846,37051,37297,37860,38286,39084
96131824		96168660		15		Homo_sapiens		33991,34320,34715,35117,35517,35761,36067,36342,36651,36815,37024,37255,37848,39028
152541258		152551829		1		Homo_sapiens		33896,34611,35680,36027,36243,36624,36746,36994,37156,37837,38197,38975
194066665		194184770		1		Homo_sapiens		33901,34614,34993,35681,36028,36245,36624,36748,36994,37159,37837,38200,38978
31329000		31609000		17		Homo_sapiens		34007,34738,35154,35779,36087,36364,36657,36829,37039,37273,37853,38266,39054
17300000		41300000		8		Mus_musculus		33481,33482,33483,33831,33832,33833,33834,33835,33836,35742,35966,35967,35968,35970,35973,35974,35975
61500000		83000000		18		Mus_musculus		33380,33381,33382,33383,33687,33688,33689,33690,33691,33692,33693,33694,33695,35791,35792,35795,35796,35798,35913
98500000		106100000		7		Mus_musculus		33478,33822,35696,35715
2400000		29200000		1		Rattus_norvegicus		33256,33257,33258,36518,36519,36520
11800000		19100000		1		Rattus_norvegicus		33256,33257,36519,36520
234500000		268000000		1		Rattus_norvegicus		33384,33385,33486,36262,36269,36270,36271
126900000		193100000		1		Rattus_norvegicus		33476,33477,33478,36259,36272,36274,36280,36284,36340,36341,36342,36346,36347,36348,36349,36350,36352
124300000		130300000		1		Rattus_norvegicus		33476,36342
183900000		193100000		1		Rattus_norvegicus		33478,36272,36348,36349,36350,36352
0		108000000		2		Rattus_norvegicus		33312,33316,33317,33343,33344,33345,33346,33347,33394,33395,33396,36241,36460,36463,36489,36490,36491,36492,36569,36570,36572,36573
61500000		73700000		4		Rattus_norvegicus		33435,33436,33437,33438,36551
78000000		82100000		4		Rattus_norvegicus		33438,36532
88500000		104400000		4		Rattus_norvegicus		33440,33441,33442,33443,36236,36406,36477,36481
104400000		114100000		4		Rattus_norvegicus		33443,36404,36406
156400000		171200000		4		Rattus_norvegicus		33444,33445,33446,33447,33449,36288,36289,36291,36292,36293,36429
157000000		160500000		4		Rattus_norvegicus		33444,33445,33446,33447,36288,36289,36291,36429
160500000		162400000		4		Rattus_norvegicus		33447,36289
166000000		168000000		4		Rattus_norvegicus		33447,36292
143700000		185400000		4		Rattus_norvegicus		33444,33445,33446,33447,33449,36260,36288,36289,36291,36292,36293,36429,36439,36457
125600000		173000000		5		Rattus_norvegicus		33410,33411,33412,33413,33414,33415,33416,33417,33418,33419,33420,33421,36233,36234
0		21000000		7		Rattus_norvegicus		33267,33268,33269,33271,33272,33370,33489,36286,36298,36299,36304,36385,36387,36390,36436
50400000		106700000		8		Rattus_norvegicus		33490,33491,33492,33493,33494,33495,33496,36287,36336,36337,36338,36339,36459,36510,36513
79400000		87750000		8		Rattus_norvegicus		33491,36337,36510,36513
81400000		89100000		8		Rattus_norvegicus		33491,36510,36513
91300000		102900000		8		Rattus_norvegicus		33491,33492,33493,33494,33495,33496,36339,36459,36513
0		3000000		9		Rattus_norvegicus		33372,36409,36442
0		50000000		9		Rattus_norvegicus		33235,33236,33339,33372,36321,36408,36409,36416,36421,36442,36509,36511,36512
2600000		11600000		10		Rattus_norvegicus		33352,36290,36343,36458,36470
57400000		86300000		10		Rattus_norvegicus		33275,33276,33277,36358,36359,36360,36361,36362,36363,36364,36365,36366,36369,36370
55800000		62700000		10		Rattus_norvegicus		33275,36360,36361
67800000		71100000		10		Rattus_norvegicus		33276,33277,36359,36363,36364
0		23800000		12		Rattus_norvegicus		33434,33479,36313,36386,36526,36540,36544,36545,36613
22400000		24500000		12		Rattus_norvegicus		33434,36539,36540
3400000		44200000		12		Rattus_norvegicus		33434,36305,36306,36307,36313,36526,36537,36538,36539,36540,36544,36545,36613
28600000		72100000		13		Rattus_norvegicus		33247,33249,33251,33252,36240,36242,36245,36246,36414,36418,36618
1600000		55400000		13		Rattus_norvegicus		33242,33243,33245,33246,33247,33248,33249,33251,33252,33373,36240,36242,36245,36246,36382,36414,36418,36618
39600000		55400000		13		Rattus_norvegicus		33251,33252,36240,36242,36245,36246,36418,36618
0		26400000		14		Rattus_norvegicus		33273,33309,33431,36238,36467,36475,36476
32600000		85400000		15		Rattus_norvegicus		33342,36309,36310,36311,36312,36316,36317,36318,36320,36324,36559,36562
83000000		100700000		15		Rattus_norvegicus		33342,36320
83300000		97700000		15		Rattus_norvegicus		33342,36320
35500000		89000000		16		Rattus_norvegicus		33480,33481,33483,36315,36319,36322,36485,36486,36556,36557,36558,36560,36563,36564,36565
