Locus	group	chr	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype
c1.loc84	0	1	-0.59999999	208	ENSRNOG00000006589	synhomsame	151	7	63	71	ENSMUSG00000033307	ortholog_one2many
c1.loc84	0	1	-0.59999999	208	ENSRNOG00000007647	synhomsame	145	7	12	16	ENSMUSG00000025905	ortholog_one2one
c1.loc85	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc85	0	1	-0.59999999	208	ENSRNOG00000011145	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000003476	ortholog_one2one
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000031623	synhomsame	145	7	12	16	ENSMUSG00000026770	ortholog_one2one
c1.loc87	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc87	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000010531	synhomsame	143	7	1	5	ENSMUSG00000050511	ortholog_one2one
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000017514	synhomsame	151	7	63	71	ENSMUSG00000000706	ortholog_one2one
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000020787	synhomsame	147	7	23	28	ENSMUSG00000038194	ortholog_one2one
c1.loc89	0	1	-0.59999999	208	ENSRNOG00000010531	synhomsame	143	7	1	5	ENSMUSG00000050511	ortholog_one2one
c1.loc90	0	1	-0.59999999	208	ENSRNOG00000002011	synhomsame	89	19	3	7	ENSMUSG00000029255	ortholog_one2one
c1.loc91	0	1	-0.59999999	208	ENSRNOG00000002011	synhomsame	89	19	3	7	ENSMUSG00000029255	ortholog_one2one
c1.loc91	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc92	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc92	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc92	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one
c1.loc92	0	1	-0.59999999	208	ENSRNOG00000020787	synhomsame	147	7	23	28	ENSMUSG00000038194	ortholog_one2one
c1.loc93	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc93	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one
c1.loc94	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc94	0	1	-0.59999999	208	ENSRNOG00000017514	synhomsame	151	7	63	71	ENSMUSG00000000706	ortholog_one2one
c1.loc94	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one
c1.loc95	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc95	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc95	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one
c1.loc95	0	1	-0.59999999	208	ENSRNOG00000017514	synhomsame	151	7	63	71	ENSMUSG00000000706	ortholog_one2one
c1.loc95	0	1	-0.59999999	208	ENSRNOG00000020787	synhomsame	147	7	23	28	ENSMUSG00000038194	ortholog_one2one
c1.loc96	0	1	-0.59999999	208	ENSRNOG00000002011	synhomsame	89	19	3	7	ENSMUSG00000029255	ortholog_one2one
c1.loc96	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc96	0	1	-0.59999999	208	ENSRNOG00000007647	synhomsame	145	7	12	16	ENSMUSG00000025905	ortholog_one2one
c1.loc96	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc97	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc98	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc98	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc99	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c10.loc13	4	10	7.80000019	16	ENSRNOG00000027042	synhomsame	21	11	21	27	ENSMUSG00000038541	ortholog_one2one
c10.loc56	7	10	33.79999924	65	ENSRNOG00000007159	synhomsame	26	11	44	60	ENSMUSG00000035385	ortholog_one2one
c10.loc57	7	10	33.79999924	65	ENSRNOG00000007159	synhomsame	26	11	44	60	ENSMUSG00000035385	ortholog_one2one
c10.loc58	7	10	33.79999924	65	ENSRNOG00000007159	synhomsame	26	11	44	60	ENSMUSG00000035385	ortholog_one2one
c10.loc69	8	10	65.80000305	70	ENSRNOG00000007159	synhomsame	26	11	44	60	ENSMUSG00000035385	ortholog_one2one
c13.loc16	14	13	7.89999962	31.89999962	ENSRNOG00000029861	synhomsame	6	1	69	71	ENSMUSG00000074183	ortholog_many2many
c13.loc19	14	13	7.89999962	31.89999962	ENSRNOG00000029861	synhomsame	6	1	69	71	ENSMUSG00000074183	ortholog_many2many
c13.loc20	14	13	7.89999962	31.89999962	ENSRNOG00000029861	synhomsame	6	1	69	71	ENSMUSG00000074183	ortholog_many2many
c14.loc18	18	14	15.20000076	38.20000076	ENSRNOG00000018311	synhomsame	132	5	24.96774483	40	ENSMUSG00000030724	ortholog_one2one
c14.loc24	18	14	15.20000076	38.20000076	ENSRNOG00000018311	synhomsame	132	5	24.96774483	40	ENSMUSG00000030724	ortholog_one2one
c14.loc80	19	14	39.20000076	91	ENSRNOG00000017226	synhomsame	129	5	3	14	ENSMUSG00000018566	ortholog_one2one
c14.loc88	19	14	39.20000076	91	ENSRNOG00000020993	synhomsame	50	14	3	39	ENSMUSG00000024680	ortholog_one2one
c16.loc70	24	16	-1	85	ENSRNOG00000011853	synhomsame	50	14	3	39	ENSMUSG00000024513	ortholog_one2one
c16.loc71	24	16	-1	85	ENSRNOG00000011853	synhomsame	50	14	3	39	ENSMUSG00000024513	ortholog_one2one
c16.loc71	24	16	-1	85	ENSRNOG00000020643	synhomsame	50	14	3	39	ENSMUSG00000066979	ortholog_one2one
c16.loc75	24	16	-1	85	ENSRNOG00000009446	synhomsame	172	8	23	33	ENSMUSG00000015846	ortholog_one2one
c17.loc50	25	17	7.89999962	86	ENSRNOG00000010658	synhomsame	39	13	-1	1	ENSMUSG00000028179	ortholog_one2one
c5.loc132	52	5	112	140	ENSRNOG00000014081	synhomsame	125	4	80	83	ENSMUSG00000037393	ortholog_one2one
c5.loc136	52	5	112	140	ENSRNOG00000014081	synhomsame	125	4	80	83	ENSMUSG00000037393	ortholog_one2one
c6.loc106	55	6	97	143	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc107	55	6	97	143	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc108	55	6	97	143	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc109	55	6	97	143	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc14	53	6	-7.69999981	24.29999924	ENSRNOG00000005338	synhomsame	77	17	14.00709534	53	ENSMUSG00000039358	ortholog_one2one
c6.loc14	53	6	-7.69999981	24.29999924	ENSRNOG00000024008	synhomsame	77	17	14.00709534	53	ENSMUSG00000044201	ortholog_one2one
c6.loc24	53	6	-7.69999981	24.29999924	ENSRNOG00000007420	synhomsame	77	17	14.00709534	53	ENSMUSG00000053004	ortholog_one2one
c6.loc27	53	6	-7.69999981	24.29999924	ENSRNOG00000007420	synhomsame	77	17	14.00709534	53	ENSMUSG00000053004	ortholog_one2one
c6.loc31	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc32	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc53	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc54	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc57	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc57	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc58	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc58	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc59	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc60	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc71	54	6	25.10000038	92	ENSRNOG00000013862	synhomsame	35	12	23.96789742	25.96789742	ENSMUSG00000027368	ortholog_one2one
c6.loc84	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc85	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc87	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc88	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc89	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc91	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc93	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc94	54	6	25.10000038	92	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c6.loc98	55	6	97	143	ENSRNOG00000014124	synhomsame	37	12	38	40	ENSMUSG00000055994	ortholog_one2one
c8.loc123	67	8	88	152	ENSRNOG00000000399	synhomsame	182	9	51.41851807	65	ENSMUSG00000022905	ortholog_one2one
D10Rat29	7	10	33.79999924	65	ENSRNOG00000007468	synhomsame	26	11	44	60	ENSMUSG00000055170	ortholog_one2one
D14Rat110	19	14	39.20000076	91	ENSRNOG00000012458	synhomsame	130	5	16	18.06703949	ENSMUSG00000025479	ortholog_one2one
D14Rat110	19	14	39.20000076	91	ENSRNOG00000017226	synhomsame	129	5	3	14	ENSMUSG00000018566	ortholog_one2one
D14Rat110	19	14	39.20000076	91	ENSRNOG00000020993	synhomsame	50	14	3	39	ENSMUSG00000024680	ortholog_one2one
D16Rat89	24	16	-1	85	ENSRNOG00000012295	synhomsame	172	8	23	33	ENSMUSG00000042632	ortholog_one2one
D16Rat89	24	16	-1	85	ENSRNOG00000020993	synhomsame	50	14	3	39	ENSMUSG00000024680	ortholog_one2one
D1Rat36	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
D1Rat56	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one
D1Rat56	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
D2Rat177	36	2	53.79999924	61.59999847	ENSRNOG00000015654	synhomsame	57	15	11	16	ENSMUSG00000055737	ortholog_one2one
