Locus	group	chr	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype	 syn_reg_ids
c1.loc107	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc109	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc115	0	1	-0.59999999	208	ENSRNOG00000019500	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000032315	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc118	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc124	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc125	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc125	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc126	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc126	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc127	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc127	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc75	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc78	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc79	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc84	0	1	-0.59999999	208	ENSRNOG00000006589	synhomsame	151	7	63	71	ENSMUSG00000033307	ortholog_one2many	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc84	0	1	-0.59999999	208	ENSRNOG00000007647	synhomsame	145	7	12	16	ENSMUSG00000025905	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc85	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc85	0	1	-0.59999999	208	ENSRNOG00000011145	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000003476	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc86	0	1	-0.59999999	208	ENSRNOG00000031623	synhomsame	145	7	12	16	ENSMUSG00000026770	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc87	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc87	0	1	-0.59999999	208	ENSRNOG00000016685	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000007480	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000010531	synhomsame	143	7	1	5	ENSMUSG00000050511	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000017514	synhomsame	151	7	63	71	ENSMUSG00000000706	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc88	0	1	-0.59999999	208	ENSRNOG00000020787	synhomsame	147	7	23	28	ENSMUSG00000038194	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc89	0	1	-0.59999999	208	ENSRNOG00000010531	synhomsame	143	7	1	5	ENSMUSG00000050511	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc90	0	1	-0.59999999	208	ENSRNOG00000002011	synhomsame	89	19	3	7	ENSMUSG00000029255	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
