Locus	chr	group	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype	 syn_reg_ids
c14.loc24	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc24	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc25	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc26	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc9	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc9	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c15.loc12	57	15	11	16	ENSMUSG00000055737	synhomsame	36	2	53.79999924	61.59999847	ENSRNOG00000015654	ortholog_one2one	33345,33346,33347,33348,33634,33635,33636,35900,35985
c15.loc13	57	15	11	16	ENSMUSG00000055737	synhomsame	36	2	53.79999924	61.59999847	ENSRNOG00000015654	ortholog_one2one	33345,33346,33347,33348,33634,33635,33636,35900,35985
c17.loc24	77	17	14.00709534	53	ENSMUSG00000039358	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000005338	ortholog_one2one	33370,33371,33372,33373,33374,33375,33376,33660,33661,33662,33663,33664,33665,33666,33667,33668,33669,33670,35790,35800,35802,35806,35821,35829,35866,35907,35923,35926
c17.loc25	77	17	14.00709534	53	ENSMUSG00000044201	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000024008	ortholog_one2one	33370,33371,33372,33373,33374,33375,33376,33660,33661,33662,33663,33664,33665,33666,33667,33668,33669,33670,35790,35800,35802,35806,35821,35829,35866,35907,35923,35926
c17.loc30	77	17	14.00709534	53	ENSMUSG00000053004	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000007420	ortholog_one2one	33370,33371,33372,33373,33374,33375,33376,33660,33661,33662,33663,33664,33665,33666,33667,33668,33669,33670,35790,35800,35802,35806,35821,35829,35866,35907,35923,35926
c19.loc4	89	19	3	7	ENSMUSG00000029255	synhomsame	0	1	-0.59999999	208	ENSRNOG00000002011	ortholog_one2one	33384,33696,35713
c4.loc81	125	4	80	83	ENSMUSG00000037393	synhomsame	50	5	112	140	ENSRNOG00000014081	ortholog_one2one	33417,33761,33762,35671
c4.loc82	125	4	80	83	ENSMUSG00000037393	synhomsame	50	5	112	140	ENSRNOG00000014081	ortholog_one2one	33417,33761,33762,35671
c5.loc32	132	5	24.96774483	40	ENSMUSG00000030724	synhomsame	18	14	15.20000076	38.20000076	ENSRNOG00000018311	ortholog_one2one	33428,33429,33430,33431,33776,33777,33778,33779,33780,35888,35889
c7.loc13	145	7	12	16	ENSMUSG00000025905	synhomsame	0	1	-0.59999999	208	ENSRNOG00000007647	ortholog_one2one	33472,33473,33474,33818,35811
c7.loc15	145	7	12	16	ENSMUSG00000026770	synhomsame	0	1	-0.59999999	208	ENSRNOG00000031623	ortholog_one2one	33472,33473,33474,33818,35811
c7.loc175	162	7	173	177	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one	33478,33823,35770,35771,35772
c7.loc184	163	7	177.1819458	185	ENSMUSG00000029255	synhomsame	0	1	-0.59999999	208	ENSRNOG00000002011	ortholog_one2one	33478
c7.loc188	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one	33478,33823
c7.loc189	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one	33478,33823
c7.loc190	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one	33478,33823
c7.loc2	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one	33462,33463,33464,33465,33466,33467,33468,33816,35809
c7.loc219	167	7	218	221	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one	33478,33824,35704
c7.loc220	167	7	218	221	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one	33478,33824,35704
c7.loc26	147	7	23	28	ENSMUSG00000038194	synhomsame	0	1	-0.59999999	208	ENSRNOG00000020787	ortholog_one2one	33474,33820,35707
c7.loc3	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one	33462,33463,33464,33465,33466,33467,33468,33816,35809
c7.loc4	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one	33462,33463,33464,33465,33466,33467,33468,33816,35809
c7.loc68	151	7	63	71	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one	33476,33821,35753
c7.loc68	151	7	63	71	ENSMUSG00000033307	synhomsame	0	1	-0.59999999	208	ENSRNOG00000006589	ortholog_one2many	33476,33821,35753
c7.loc78	152	7	77	83	ENSMUSG00000032259	synhomsame	0	1	-0.59999999	208	ENSRNOG00000008428	ortholog_one2one	33476,33821,35754
c7.loc79	152	7	77	83	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one	33476,33821,35754
c7.loc80	152	7	77	83	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one	33476,33821,35754
c7.loc80	152	7	77	83	ENSMUSG00000020838	synhomsame	0	1	-0.59999999	208	ENSRNOG00000003476	ortholog_one2one	33476,33821,35754
c8.loc25	172	8	23	33	ENSMUSG00000042632	synhomsame	24	16	-1	85	ENSRNOG00000012295	ortholog_one2one	33483,33836,33837,33838,35898,35971
c8.loc26	172	8	23	33	ENSMUSG00000042632	synhomsame	24	16	-1	85	ENSRNOG00000012295	ortholog_one2one	33483,33836,33837,33838,35898,35971
c8.loc27	172	8	23	33	ENSMUSG00000015846	synhomsame	24	16	-1	85	ENSRNOG00000009446	ortholog_one2one	33483,33836,33837,33838,35898,35971
c9.loc57	182	9	51.41851807	65	ENSMUSG00000022905	synhomsame	65	8	88	152	ENSRNOG00000000399	ortholog_one2one	33497,33866,33867,35868,35869
D10Mit213	12	10	-1	3	ENSMUSG00000026237	synhomsame	0	1	-0.59999999	208	ENSRNOG00000018521	ortholog_one2one	33255,33256,33555,35935
D11Mit231	21	11	21	27	ENSMUSG00000038541	synhomsame	4	10	7.80000019	16	ENSRNOG00000027042	ortholog_one2one	33275,33578,33579,35915,35919
D11Mit36	26	11	44	60	ENSMUSG00000055170	synhomsame	7	10	33.79999924	65	ENSRNOG00000007468	ortholog_one2one	33275,33276,33277,33584,33585,35775,35778,35779,35783
D12Mit4	35	12	23.96789742	25.96789742	ENSMUSG00000027368	synhomsame	52	6	25.10000038	92	ENSRNOG00000013862	ortholog_one2one	33301,33596,35751
D13Mit14	39	13	-1	1	ENSMUSG00000028179	synhomsame	25	17	7.89999962	86	ENSRNOG00000010658	ortholog_one2one	33304,33305,33306,33307,33308,33601,33602,33603,33604,33605,35686,35688,35922,35948
D17Mit185	77	17	14.00709534	53	ENSMUSG00000053004	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000007420	ortholog_one2one	33370,33371,33372,33373,33374,33375,33376,33660,33661,33662,33663,33664,33665,33666,33667,33668,33669,33670,35790,35800,35802,35806,35821,35829,35866,35907,35923,35926
D5Mit387	130	5	16	18.06703949	ENSMUSG00000025479	synhomsame	19	14	39.20000076	91	ENSRNOG00000012458	ortholog_one2one	33426,33427,33428,33770,33771,33772,33773,33774,33775,33776,35788,35818,35819,35820,35859,35887,35888,35944,35964
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000003476	synhomsame	0	1	-0.59999999	208	ENSRNOG00000011145	ortholog_one2one	33474,33820,35707
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000007480	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016685	ortholog_one2one	33474,33820,35707
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000032315	synhomsame	0	1	-0.59999999	208	ENSRNOG00000019500	ortholog_one2one	33474,33820,35707
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000046159	synhomsame	0	1	-0.59999999	208	ENSRNOG00000014639	ortholog_one2one	33474,33820,35707
